"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"0.1uF";"CAP0603-CAP";"0603-CAP";"C7, C8, C9";"Capacitor";"";
"1";"1000uF";"CPOL-USD/7343-31W";"D/7343-31W";"C6";"POLARIZED CAPACITOR, American symbol";"";
"1";"100K";"RESISTOR0603-RES";"0603-RES";"R2";"Resistor";"";
"2";"100uF";"CAP_POL1206-KIT";"EIA3216-KIT";"C4, C11";"Capacitor Polarized";"";
"8";"10K";"RESISTOR0603-RES";"0603-RES";"R10, R12, R13, R14, R15, R16, R17, R18";"Resistor";"";
"1";"150K";"RESISTOR0603-RES";"0603-RES";"R3";"Resistor";"";
"1";"16MHz";"RESONATOR-16MHZSMD_3.2X1.3";"RESONATOR-SMD-3.2X1.3";"Y1";"16MHz Resonator";"";
"2";"1M";"RESISTOR0603-RES";"0603-RES";"R8, R11";"Resistor";"";
"1";"1M2";"RESISTOR0603-RES";"0603-RES";"R5";"Resistor";"";
"1";"1M3";"RESISTOR0603-RES";"0603-RES";"R4";"Resistor";"";
"1";"1M8";"RESISTOR0603-RES";"0603-RES";"R6";"Resistor";"";
"4";"1uF";"CAP0603-CAP";"0603-CAP";"C2, C5, C10, C12";"Capacitor";"";
"1";"220uF";"CAP_POL3528-KIT";"EIA3528-KIT";"C1";"Capacitor Polarized";"";
"1";"2N2222";"MMBT2222ALT1-NPN-SOT23-BEC";"SOT23-BEC";"T2";"NPN Transistror";"";
"1";"2N2907";"MMBT2907ALT1-PNP-SOT23-BEC";"SOT23-BEC";"T1";"PNP Transistror";"";
"1";"300K";"RESISTOR0603-RES";"0603-RES";"R1";"Resistor";"";
"1";"330";"RESISTOR0603-RES";"0603-RES";"R9";"Resistor";"";
"1";"3M";"RESISTOR0603-RES";"0603-RES";"R7";"Resistor";"";
"1";"4.7pF";"CAP0603-CAP";"0603-CAP";"C3";"Capacitor";"";
"1";"4.7uH";"INDUCTOR";"LTF5022";"L1";"LTF5022 Footprint";"";
"31";"APA102";"APA1022020";"APA102_2020";"U3, U4, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33";"APA102C 5050 RGB LED";"";
"1";"APDS-9960";"APDS-9960";"APDS-9960";"U35";"Avago APDS-9960 Digital Proximity, Ambient Light, RGB, and Gesture Sensor.";"";
"1";"ATMEGA328P-AU";"ATMEGA328P-AU";"TQFP32";"U34";"Atmel 32-pin 8-bit microcontroller";"";
"3";"BSS138";"MOSFET-NCH-BSS138";"SOT23-3";"Q2, Q3, Q4";"N-channel MOSFETs";"";
"2";"GP-635TSMD";"GP-635TSMD";"GP-635T";"ICSP, SERIAL";"Footprint and symbol for a generic 6-pin JST GPS module connector.";"";
"1";"KEYSTONE1088";"KEYSTONE1088";"KEYSTONE1088";"BAT1";"";"";
"1";"LM2623_DGK_8";"LM2623_DGK_8";"MUA08A";"U1";"";"";
"2";"MBRA340";"SS12";"DIOM4427X270N";"D1, D2";"SS12 Series 500 mV 1 A 20 V Max Reverse Voltage Schottky Rectifier - DO-214AC";"";
"1";"STR2P3LLH6";"MOSFET_PCH-IRLML2244";"SOT23-3";"Q1";"P-channel MOSFETs";"";
"1";"TPS78001_DDC_5";"TPS78001_DDC_5";"DDC5";"U2";"";"";
